FY 2012,3/17/2012,3/14/2012,"Maury County Highway Dept., Columbia, TN 38401",Worker on a highway construction site died after falling 40 feet from an aerial boom that broke from the aerial lift truck.
FY 2012,3/17/2012,3/14/2012,"Tyson Fresh Meats Inc., Dakota City, NE 68731",Worker repairing an adjustable lift platform inside a meat packing facility was crushed when the chain holding the platform broke.
FY 2012,3/17/2012,3/15/2012,"Berkeley Forge & Tool Inc., Berkeley, CA 94710",Worker at a tool manufacturing facility was killed when a piece from a pneumatic grinder he was welding struck his head.
FY 2012,3/17/2012,3/15/2012,"Kelley Bean Company Inc., Brush, CO 80723",Worker was engulfed after standing on a pile of beans at a bean plant.
FY 2012,3/24/2012,2/4/2012,"Conagra Foods Lamb Weston Inc., Connell, WA 99326",Worker at a frozen food manufacturing facility died after performing waste water treatment operations.
FY 2012,3/24/2012,2/14/2012,"Richard Knight, White Swan, WA 98952",Worker was struck and killed by a large alfalfa bale.
FY 2012,3/24/2012,2/22/2012,"Danny Mallard, Whitesboro, TX 76273",Worker installing an advertising billboard died after falling 30 feet.
FY 2012,3/24/2012,2/22/2012,"Port Newark Container Terminal LLC, Newark, NJ 07114",Worker at a container terminal died after being caught between two cargo containers.
FY 2012,3/24/2012,2/24/2012,"Equipos de Bequeron, Las Piedras, PR 00771",Worker was thrown from a truck and killed when equipment the truck was carrying caused the truck to crash.
FY 2012,3/24/2012,3/1/2012,"Professional Roofing Services Inc., Ortonville, MI 48433",Worker performing roofing activities was electrocuted while moving a ladder that touched an overhead power line.
FY 2012,3/24/2012,3/4/2012,"JM Manufacturing Inc., Umatilla, OR 97882",Worker performing maintenance at a pipe fitting manufacturer was killed when a 396-pound plastic pipe fell on him.
FY 2012,3/24/2012,3/6/2012,"Daniel Smith, dba Smith Logging, Holly Pond, AL 35083",Worker performing logging operations died from head injuries after being struck by a tree.
FY 2012,3/24/2012,3/9/2012,"Peninsula Sanitary Service Inc., Stanford, CA 94305",Worker on trash collection route was struck by unattended trash truck after exiting the truck to stop a dumpster from rolling down the street.
FY 2012,3/24/2012,3/13/2012,"Shelter Design and Construction, Lakeway, TX 78734",Worker repairing a second-floor window died after falling 11 feet to the concrete slab.
FY 2012,3/24/2012,3/16/2012,"Oscar's Painting, Rancho Cucamonga, CA 91730",Three workers painting inside a facility were found dead from carbon monoxide poisoning after a gasoline-powered air compressor was running without fuel.
FY 2012,3/24/2012,3/19/2012,"D & E Tree Service, Scio, OH 43988","Worker trimming trees from inside a truck's elevated bucket was killed when the bucket fell, crushing him between it and the truck's cab."
FY 2012,3/24/2012,3/20/2012,"Brantec Packaging Machinery Corp., Fort Mill, SC 29715",Worker at a packaging manufacturer was struck and killed by a forklift.
FY 2012,3/24/2012,3/20/2012,"D & K Logging Inc., Danville, WV 25053",Worker trimming an oak tree was killed when another uprooted tree fell on him.
FY 2012,3/24/2012,3/20/2012,"Donner Plumbing and Heating Inc., Portales, NM 88130","Worker for a plumbing and heating company who was unbolting equipment attached to a hoist was killed when the hoist frame collapsed, pinning the worker between the framing."
FY 2012,3/24/2012,3/20/2012,"Genpak LLC, Columbus, OH 43228",Worker at a packing and crating facility who was cleaning a machine used to make rolls of plastic was killed after being pulled into the machine.
FY 2012,3/24/2012,3/20/2012,"OGE Red Bud Power Plant, Luther, OK 73054",Worker tightening bolts on a steam drum died from blunt force trauma and burns when increased pressure caused drum to explode.
FY 2012,3/24/2012,3/20/2012,"Rayson Logging, Dundee, OH 44624",Worker performing logging operations was struck and killed by a tree.
FY 2012,3/24/2012,3/20/2012,"Suderman Stevedore Inc., Galveston, TX 77550",Worker was found deceased in a restroom.
FY 2012,3/24/2012,3/20/2012,"Valsala Inc., Paw Paw, IL 61353",Worker installing a sensor on the highway was struck and killed by a semi-truck.
