State,Date,Address,Description,Type,Latitude,Longitude,Number
OH,3/22/14,"Graham County Land Company, Hannibal, OH 43931",Worker struck and killed by falling tree. ,Fatality,39.6637014,-80.8716789,1
MA,3/21/14,"Dolly DYK Cleaning Corp, Boston, MA 02116",Worker killed in fall down elevator shaft. ,Fatality,42.353068,-71.0765188,1
OK,3/21/14,"Mack's S & S Construction, Catoosa, OK 74015",Worker crushed by dump truck.,Fatality,36.188987,-95.745817,1
PA,3/20/14,"Baker Hughes, Meshoppen, PA 18630",Worker killed in tractor trailer collision.,Fatality,41.6142427,-76.0465918,1
ND,3/20/14,"Ensign United States Drilling Inc., Killdeer, ND 58640",Worker struck and killed by traveling blocks while working on a drilling rig.,Fatality,47.3719582,-102.7540751,1
NE,3/20/14,"Midwest Farmers Cooperative, Tecumseh, NE 68450",Worker died from exposure to anhydrous ammonia released during transfer from tanker trailer to bulk storage tank.,Fatality,40.3667541,-96.1957864,1
NY,3/20/14,"Volles Dairy Farm LLC, Marietta, NY 13110",Worker performing maintenance on truck was crushed by  hydraulic dump body. ,Fatality,42.9089558,-76.3235422,1
IL,3/19/14,"Chicago Doorways LLC, Chicago, IL 60611",Worker died after falling from ladder.,Fatality,41.8925085,-87.6161696,1
CA,3/19/14,"G.E. Drywall, Bella Vista, CA 96008",Worker killed in fall from height.,Fatality,40.6315045,-122.2686718,1
TX,3/19/14,"Ingram Ready Mix, Converse, TX 78109",Worker struck and run over by truck.     ,Fatality,29.5180081,-98.3161241,1
CA,3/19/14,"Mendocina County Sheriff's Office, Cleone, CA 95437",Worker shot while in pursuit of suspect.,Fatality,39.4898875,-123.785571,1
IL,3/18/14,"Will County - ICT Department, Joliet, IL 60432",Worker killed in motor vehicle collision.,Fatality,41.5397073,-88.0460894,1
IL,3/17/14,"City of Oaks Forest - Police Dept., Oak Forest, IL 60452",Worker responding to domestic violence call struck and killed by a motor vehicle.,Fatality,41.6028116,-87.7439384,1
MI,3/17/14,"Meekhof Tire Sales and Service, Inc.                                                        Grand Rapids, MI 49503",Worker repairing tire was crushed when truck cab fell on him.,Fatality,42.9616689,-85.6588999,1
FL,3/17/14,"Varsity Cycle Inc., Wilton Manors, FL 33306",Worker killed in motor vehicle collision.,Fatality,26.1640451,-80.1121493,1
FL,3/15/14,"BF Fort Myers Inc., Punta Gorda, FL 33951",Worker electrocuted while repairing machine.,Fatality,26.9372428,-82.0494901,1
CA,3/15/14,"Full Service Scaffold, Sacramento, CA 94203",Worker killed in fall from scaffold platform. ,Fatality,38.58,-121.49,1
TX,3/15/14,"Nabors Drilling Ltd, Fowlerton, TX 78021",Worker struck and killed by unsecured equipment.,Fatality,28.4655476,-98.8108573,1
SD,3/15/14,"Prairie Ag Partners, Lake Preston, SD 57249",Worker engulfed by beans while cleaning storage bin.,Fatality,44.3635802,-97.377294,1
KY,3/15/14,"Saunier Moving and Storage, Smith Grove, KY 42171",Worker killed in truck fire after motor vehicle collision.,Fatality,37.0423064,-86.1548269,1
TX,3/14/14,"Bruce Babb Chemicals, Rankin, TX 79778",Worker killed in a motor vehicle collision.,Fatality,31.2226477,-101.9379085,1
WA,3/14/14,"Evergreen Golf Design Inc., Marysville, WA 98271",Worker killed when riding lawnmower flipped over onto him.,Fatality,48.0517637,-122.1770818,1
TX,3/14/14,"First Graphic Services Inc., Garland, TX 75040",Worker struck and killed by falling signs. ,Fatality,32.9368872,-96.6317461,1
IA,3/14/14,"Michels Pipeline Construction, Inc., Cedar Rapids, IA 52403",Worker struck and killed by metal boring rods during cutting.,Fatality,41.9781094,-91.5886966,1
LA,3/14/14,"SIMMCO, Shreveport, LA 71149",Worker struck and killed when pipes rolled off trailer during unloading.,Fatality,32.5247897,-93.7527109,1
PA,3/13/14,303 E Mifflin St ORWIGSBURG  PA 17961,Worker was run over by delivery truck.,Fatality,40.6551072,-76.0972066,1
LA,3/13/14,"Bluffs Golf LLC, Saint Francisville, LA 70775",Worker died from head injury after being ejected from golf cart.,Fatality,30.7880721,-91.3768479,1
NY,3/13/14,"Layton Manufacturing Corporation, Brooklyn, NY 11203",Worker died from carbon monoxide poisoning.,Fatality,40.6515882,-73.9330429,1
KY,3/12/14,"Stark Truss, Auburn, KY 42206",Worker caught and killed in a press while trying to retrieve a hammer.,Fatality,36.8642088,-86.7102735,1
PA,3/12/14,"TNT Oil Co., Irvine, PA 16329",Worker was killed when fuel tank exploded. ,Fatality,41.8392258,-79.2683811,1
AR,3/12/14,"Your Employment Service Staffing Inc., Little Rock, AR 72209",Temporary worker killed in fall from rooftop. ,Fatality,34.6741181,-92.3517526,1
FL,3/11/14,"Eaton Corporation, Sarasota, FL 34243",Worker struck and killed by a piece of equipment when a jack failed. ,Fatality,27.4081935,-82.5294065,1
AK,3/11/14,"Glacier Fish Company, Dutch Harbor, AK 99692",Worker struck and killed by heavy object in explosion.,Fatality,53.9013733,-166.5301011,1
HI,3/11/14,"Higa Meat and Pork Market Limited, Honolulu, HI 96817",Worker killed in fall from pallet of boxes.,Fatality,21.3433967,-157.8390944,1
TX,3/11/14,"Mastec Advanced Technology, Dallas, TX 75238",Worker killed in motor vehicle collision. ,Fatality,32.8821116,-96.7119409,1
AR,3/11/14,"Norandal USA Inc., Newport, AR 72112",Worker killed after being caught in machinery while clearing a jam. ,Fatality,35.6048018,-91.2817951,1
TX,3/11/14,"Strike LLC, Corpus Christi, TX 78401",Four employees hospitalized with burns from a flash fire. ,Catastrophe,27.8028475,-97.4002872,1
NY,3/10/14,"AC Body Works & Sons LLC, Schenectady, NY 12306",Worker crushed between a truck and carwash spray booth. ,Fatality,42.8142432,-73.9395687,1
IL,3/10/14,"Behr Iron & Steel Inc., South Beloit, IL 61080",Employer died after being caught in the tail pulley of a shredding machine conveyor belt. ,Fatality,42.4930708,-89.0367763,1
MN,3/10/14,"Cardinal Transport Inc., Hanover, MN 55341",Worker struck and killed by pipe while loading truck.,Fatality,45.1613544,-93.6546889,1
CA,3/10/14,"Dynamex, Hayward, CA 94545",Worker was struck and killed by a motor vehicle.,Fatality,37.6063621,-122.1178261,1
NY,3/10/14,"Little Richard Logging, Parish, NY 13131",Worker struck and killed while performing logging operations.,Fatality,43.4172264,-76.1088001,1
TX,3/10/14,"M & M Striping & Power Washing LLC, Italy, TX 76651",Worker backed over by truck during litter control operations. ,Fatality,32.1840381,-96.8847194,1
LA,3/9/14,"North Star Painting Co, Saint James, LA 70086",Worker killed in fall from bridge.,Fatality,29.9828316,-90.8308712,1
PR,3/9/14,"R Betances Construccion LLC, Toa Baja, PR 00949",Worker was struck and killed by truck that was backing up.,Fatality,18.4305854,-66.2248174,1
NY,3/7/14,"Steve's Auto Service, Buffalo, NY 14211",Worker repairing a fuel pump was fatally burned when gasoline ignited.,Fatality,42.9109033,-78.8099472,1
NY,3/6/14,"Adar Steel Inc, Brooklyn, NY 11249",Worker killed in fall while installing decking.,Fatality,40.7119031,-73.9660683,1
NV,3/6/14,"Adventure Photo Tours Inc.,  Overton, NV 89040",Worker was pinned and crushed between rolling vehicle and rocks.,Fatality,36.5432947,-114.4468706,1
NJ,3/6/14,"Bushwick Metals LLC, South Plainfield, NJ 07080",Worker crushed by steel beams.,Fatality,40.5792701,-74.4115401,1
MI,3/6/14,"Valley Grove Dairy Farm, Hastings, MI 49058",Worker was fatally mauled by a bull.,Fatality,42.6458682,-85.2908403,1
TX,3/6/14,"WW LLC, Brownfield, TX 79316",Worker crushed and killed by a tank.,Fatality,33.1812035,-102.2743489,1
IA,3/5/14,"Acme Electric Company, Cedar Rapids, IA 52404",Worker was electrocuted by live electrical storage capacitor. ,Fatality,41.9270157,-91.6955092,1
MI,3/5/14,"Colonial Plastics, Shelby Twp, MI 48315",Worker checking parts on an injection molding machine was crushed when the machine activated.,Fatality,42.6795602,-83.0039075,1
NJ,3/4/14,"PSEG, Ewing, NJ 08560",Three employees were hospitalized from a gas leak explosion.,Catastrophe,40.3101246,-74.8624092,1
MI,3/4/14,"St. Vincent De Paul Particular Council of Flint, Flint, MI 48506",Worker was pinned and crushed between trailer and truck.,Fatality,43.0125274,-83.6874562,1
CO,3/4/14,"Wolf Creek Ski Area, Pagosa Springs, CO 81147",Employee died in a cave-in caused by an avalanche. ,Fatality,37.26945,-107.0097617,1
WA,3/3/14,"Confluence Health,  Pateros, WA 98846",Worker killed in motor vehicle collision.,Fatality,48.0509756,-119.9034007,1
