AZ,09/23/10,"Vargas General Engineering, LLC, Peoria, AZ 85381",Worker suffered fatal injuries when an excavator tipped over, pinning him.,Unknown,33.6110622,-112.2324406
MO,10/06/10,"Osage Valley Electric Coop, Rich Hill, MO 64779",The worker was using a chainsaw to cut a tree trunk. As the trunk was cut, it split and sprang back striking the worker fatally.,Unknown,38.0964191,-94.3610616
OH,10/06/10,"Reliable Tree and Mulch, Sugarcreek Twp, OH 45370",A tree trimmer died from a 90-foot fall.,Unknown,39.6119922,-84.0273168
NY,10/06/10,"The Renaissance Project, Ellenville, NY 12428",The worker was stabbed and killed by a patient.,Unknown,41.7170379,-74.3957099
IL,10/07/10,"Mt. Prospect Public Library, Mt Prospect, IL 60056",The worker was found dead in the men's restroom from what appeared to be a heart attack.,Unknown,42.0656637,-87.9361201
IL,10/07/10,"Tikal Construction and Roofing, Elk Grove Village, IL 60007",The worker was working on the roof, fell through a skylight and landed on a concrete floor.,Unknown,42.0039178,-87.9703461
SD,10/08/10,"Wanzek Construction, White, SD 57383",The worker was working in a windmill farm construction staging area and was struck and killed by a truck.,Unknown,43.7263894,-98.704075
MS,10/09/10,"Quality Steel Corporation, Cleveland, MS 38732",The worker was moving materials using a crane. The crane tipped over, and the worker was ejected from the cab of the crane. The crane ran over and crushed the worker.,Unknown,33.7440023,-90.7248187
OH,10/06/10,"Mountain Aire Heating & Air Conditioning, Bridgeport, OH 43912",The worker was working in a private home, the resident of the home heard a noise and found worker. The worker never regained consciousness.,Unknown,40.0697947,-80.7400827
KS,10/07/10,"Darling International, Garden City, KS 67846",Two workers were using a plasma cutter to cut a sheet of metal while the metal was sitting on two empty drums of hydraulic fluid. The workers cut into one of the barrels resulting in an explosion/fire. One worker sustained burns to the upper part of this body and face. The other worker sustained fractures and shrapnel wounds.  One fatality.,Unknown,37.9716898,-100.8726618
IL,10/13/10,"Baker Group, Arenzille, IL 62611",The worker was working alone on a ladder installing piping in preparation for start-up. The worker was found on the ground nonresponsive.,Unknown,39.8776841,-90.4313729
IL,10/13/10,"Wood & Son Construction, Channahon, IL 60410",Two employees were conducting demolition operations and a piece of rebar was lodged in the concrete. Employee 1 used the Bobcat hammer and began hammering the area near the rebar, the vibrations caused the rebar to come free from Employee 2 hand, the rebar struck him in the head, causing serious damage to his cranium.,Unknown,41.4174728,-88.2169027
CO,10/14/10,"Webco, Lake City, CO 81235",Worker rolled backhoe into river.,Unknown,38.0299967,-107.3153335
IL,10/19/10,"Welding Industrial Supply Company,, Chicago, IL 60643",While delivering compressed gas cylinders, worker collapsed from compressive asphyxia; cause unknown.,Unknown,41.6773775,-87.6538017
NC,10/20/10,"Eun Construction, Inc, Mount Holly NC 28120",The roof section of a screened porch fell and struck the worker.,Unknown,35.2981943,-81.0159081
