MN,2/21/11,"Viking Coca Cola Bottling Company, St. Cloud, MN 56303",Worker at a soda bottling company was found dead inside a walk-in freezer.,Unknown,45.5711784,-94.193691,,,
CA,7/26/11,"Calvin Crest Conference, Oakhurst, CA 93636",Rock climbing instructor died after falling from a 26-foot tower.,Unknown,36.992005,-119.8583772,,,
AZ,8/22/11,"20/20 Real Estate Review, Inc., Sahuarita, AZ 85629",Worker fell off a ladder.,Unknown,31.9575818,-110.955646,,,
NV,8/25/11,"Unknown, Boulder City, NV 89006",Worker towing an airplane crashed into a building at an airport.,Unknown,35.9799999,-114.83,,,
NJ,8/28/11,"Princeton First Aid & Rescue, Princeton, NJ 08540",Worker attempting to rescue a trapped motorist in fast moving water drowned after being separated from his tether.,Unknown,40.3572976,-74.6672226,,,
HI,8/29/11,"Mauna Loa Macadamia Nut Corporation, Keanu, HI 96749",Worker died when he struck a tree after crossing the center line on a private road.,Unknown,19.6053029,-155.0245825,,,
OH,9/6/11,"Bryan Shirk, Upper Arlington, OH 43221",Worker was trimming trees from a truck-mounted basket lift and was killed after being thrown from the basket and falling nearly 30 feet to the ground.,Unknown,39.9945084,-83.0624078,,,
FL,9/10/11,"APER Construction, Port of Miami, FL 33132",Worker operating an excavator died when he was thrown forward in the cab and hit his head on the machine's support bar.,Unknown,25.7741667,-80.1711111,,,
NJ,9/20/11,"Al and John, Inc., T/A Glen Rock Hams, Paterson, NJ 07503",Worker cleaning a meat mixer died when he fell into the machine.,Unknown,40.8955467,-74.156292,,,
HI,9/21/11,"Gozip LLC, Hilo, HI 96720",One worker was killed and another worker was hospitalized after a zipline tower collapsed.,Unknown,19.7297222,-155.09,,,
HI,9/22/11,"Aloha Tree Experts, Kailua, HI 96734",Worker was killed when he fell 28 feet from a tree that fell over at its base.,Unknown,21.4022222,-157.7394444,,,
CA,9/23/11,"George Pagany Farms, West Sacramento, CA 95691",Field laborer died from possible heat illness.,Unknown,38.5804609,-121.530234,,,
CA,9/23/11,"Witten Logging Co., Tehachapi, CA 93561",Logger cutting trees was struck and killed by a large falling limb.,Unknown,35.1321877,-118.4489739,,,
FL,9/26/11,"Mohawk Industries, Orlando, FL 32819",Worker was found unresponsive on a warehouse floor.,Unknown,28.4630493,-81.460856,,,
NC,9/26/11,"Murphy-Brown, LLC, Laurinburg, NC 28352",Worker trying to access an auger motor died after becoming entangled in the machine.,Unknown,34.7740494,-79.4628248,,,
MN,9/27/11,"Blooming Prairie Well Co., Blooming Prairie, MN 55917",Worker was killed after he was struck in head by a 35-pound weight that fell 30 feet from a broken cable.,Unknown,43.8666294,-93.0488091,,,
FL,9/27/11,"Monroe Drywall Construction, Panama City, FL 32405",Worker installing drywall was electrocuted when he touched a 480-volt wire.,Unknown,30.1917155,-85.6743082,,,
CA,9/28/11,"Performance Welding & Machine, Fresno, CA 93725",Worker was electrocuted while using a welder that was not grounded properly.,Unknown,36.6765725,-119.7194377,,,
ME,9/21/11,"Stevens Electric & Pump Service, Inc., Kennebunkport, ME 04046",Two workers died from overexposure to hydrogen sulfide while inside a sewer tank.,Unknown,43.3617327,-70.4767274,,,
OK,9/22/11,"Reproduction Services, Inc., Stillwater, OK 74075",Worker on the roof of a barn he was building died when he fell through a skylight hitting the floor below,Unknown,36.1156071,-97.0583681,,,
MI,9/29/11,"Integral Bldrs LLC, Dewitt, MI 48820",Worker building an addition on a barn was electrocuted after touching a 4800-volt powerline.,Unknown,42.7924727,-84.5431867,,,
IL,9/30/11,"Austin Tyler Construction, LLC., Lockport, IL 60441",Worker was struck by a truck.,Unknown,41.5894752,-88.057837,,,
NE,9/30/11,"Commercial Construction, Inc., Kearney, NE 68924",Worker using a dozer to fill a lake with sand drowned when the sand could not support the equipment's weight.,Unknown,40.456647,-99.1234795,,,
CO,10/4/11,"US Army Environmental Division, Trinidad, CO 81082",Worker was injured during a vehicle accident.,Unknown,37.1694632,-104.5005407,,,
TX,10/5/11,"All Tree, Brenham, TX 77833",Worker using a pole saw to trim trees was electrocuted when the saw touched a powerline.,Unknown,30.1668828,-96.3977442,,,
IN,10/5/11,"Power Source, Zionsville, IN 46077",Worker died after falling 22 feet when an open basket door became caught.,Unknown,39.9508733,-86.261937,,,
NM,10/10/11,"D & H Pump Service, dba D&H Petroleum and Environ, Albuquerque, NM 87113",Worker died from injuries sustained when a fuel dispenser fell on him.,Unknown,35.1894316,-106.5878723,,,
GA,10/24/11,"R.L. Mitchell, Lyons, GA 30436",Worker installing metal roof panels on a warehouse building died after falling 21 feet through a roof opening.,Unknown,33.1960375,-82.6223414,,,
KS,10/29/11,"Bartlett Grain Company, LP, Atchison, KS 66002",Four workers were killed in a grain elevator explosion and fire.,Unknown,39.5630521,-95.1216356,,,
KS,10/29/11,"Kansas Grain Inspection Services, Inc., Atchison, KS 66002",Two workers were killed while performing grain inspection services at a grain elevator when an explosion occurred.,Unknown,39.5630521,-95.1216356,,,
TN,10/30/11,"Yorkville Gin Company, Yorkville, TN 38389",Worker was crushed by a lift box while fixing a hydraulic leak on a press.,Unknown,36.1017662,-89.1223567,,,
NY,11/1/11,"Avalon Commons, Smithtown, NY 11787",Worker pumping sludge out of a sewage treatment tank died after falling into tank.,Unknown,40.8511731,-73.1691224,,,
TN,11/2/11,"United Elevator Services, LLC, Memphis, TN 38103",Mechanic was crushed between elevator and hoistway while riding on top of elevator's cab.,Unknown,35.1543632,-90.0606637,,,
WI,11/3/11,"Gordys Pump Service, Spring Valley, WI 54767",Worker connecting a newly installed pipe line inside of a trench died when the trench caved in.,Unknown,44.8452432,-92.2387957,,,
MO,11/3/11,"Paul Mueller Company, Springfield, MO 65802",Worker serving as a spotter was crushed between a truck and tractor trailer.,Unknown,37.2089572,-93.2922989,,,
PA,11/3/11,"WS Packaging Group, Inc., Franklin, PA 16323",Worker using a flammable solvent to clean a mixer blade was killed when a piece of equipment ignited the solvent causing a flash fire.,Unknown,41.3978358,-79.8314437,,,
CA,10/7/11,"Agustin Valladares Tree Trimming, Thousand Oaks, CA 91361",Tree trimmer died from head injuries after falling 30 feet from a tree.,Unknown,34.1384626,-118.8946309,,,
UT,10/26/11,"Dennis Stearns Concrete, Vernal, UT 84078",Worker lifting a 21-foot pipe died from head trauma after the pipe fell and hit his head.,Unknown,40.4555157,-109.5287479,,,
CA,10/28/11,"Dependable Highway Express Inc., Los Angeles, CA 90023",Worker died after falling off dock while trying to stop an out of control forklift.,Unknown,34.0224471,-118.2000277,,,
PA,10/28/11,"J.J. Tree Service and Landscaping, Monroeville, PA 15146",Worker died when he suffered a severe laceration to his leg while cutting tree branches.,Unknown,40.4211798,-79.7881024,,,
IN,11/1/11,"Indianapolis Logistics LLC, Indianapolis, IN 46219",Maintenance worker received fatal injuries in electric pallet jack accident.,Unknown,39.7803581,-86.0427626,,,
NM,11/2/11,"Western Dairy Transport, LLC, Portales, NM 88130",Worker was killed when strong winds caused the door of a transport trailer to strike him.,Unknown,34.1861922,-103.3343978,,,
NJ,11/5/11,"American Biltrite, Inc., Moorestown, NJ 08057",Worker was crushed in a coating machine.,Unknown,39.9688817,-74.948886,,,
MO,11/6/11,"Midwest Coatings, LLC, Branson, MO 65616",Worker applying fire retardant material to steel beams of an apartment complex died after falling from the elevated platform.,Unknown,36.6436731,-93.2185144,,,
CT,11/6/11,"Suchocki & Son, Inc., Lisbon, CT 06351",Worker performing tree maintenance was run over and killed by an excavator.,Unknown,41.6038889,-72.0116667,,,
CA,11/7/11,"BND Transport LLC, Mantera, CA 95336",Worker disconnecting a garbage trailer from a tractor was killed when the tractor and trailer ran over him.,Unknown,37.8403398,-121.2053963,,,
OK,11/7/11,"Horizon Energy Services, Foraker, OK 74652",Worker on an oil/gas well drilling rig was struck and killed by a block that fell to the rig floor.,Unknown,36.8722646,-96.5655742,,,
NY,10/8/11,"Built Rite Contracting Corp., New York, NY 10021",Worker was struck and killed by his unoccupied truck as it rolled to the bottom of an incline.,Unknown,40.7700703,-73.9580246,,,
NC,10/14/11,"Six Forks Cinema, LLC, Raleigh, NC 27615",Worker fell at movie theater.,Unknown,35.8861371,-78.6455475,,,
TN,10/15/11,"Sergio Arroyo-Contreras dba SAC Hands, Gray, TN 37615",Employee fell approximately 18 feet from the roof of a frame residential structure after striking his head on a trailer jack.,Unknown,36.4198258,-82.4765352,,,
IL,10/22/11,"North Star Cable Construction, Inc., Chicago, IL 60651",Worker servicing a cable line died after falling 15 feet to the concrete pavement.,Unknown,41.9024826,-87.7418842,,,
MI,10/24/11,"Spartan Steel Coating, Monroe, MI 48162",Maintenance worker adjusting a belt wrapper was crushed between the wrapper and machine frame.,Unknown,41.9164343,-83.3977101,,,
WA,11/1/11,"Cenveo West Inc., Kent, WA 98032",Worker died from head trauma after falling while climbing pallet racks to pick orders of envelopes.,Unknown,47.4116866,-122.245159,,,
WA,11/6/11,"Dick's Drive In, Seattle, WA 98109",Janitor fell and struck head.,Unknown,47.649073,-122.3066222,,,
SD,11/7/11,"Adams Thermal Systems, Inc., Canton, SD 57013",Worker doing maintenance on machinery died after being caught between the machine and a moving part.,Unknown,43.3008146,-96.5928198,,,
