NY,4/10/13,"Cathay Pacific Airways Ltd., Jamaica,  NY 11430",Employee struck and killed by cargo transporter during loading operations at airport.,Fatality,40.6433507,-73.7889689
DC,4/10/13,"DC Cash and Carry,  Washington,  DC 20002",Employee died after falling 10 feet from a powered industrial truck while accessing a rack storage system.,Fatality,38.9052763,-76.9815877
KY,4/10/13,"Masonry Medic LLC,  Cynthiana, KY 41031",Two workers electrocuted when the boom truck basket they were inside contacted a 7200-volt power line while they performed chimney repair work.,Fatality,38.3903526,-84.2941013
CA,4/10/13,"Pacific States Industries dba Redwood Empire Sawmill, Cloverdale, CA 95425",Worker died after becoming stuck in a debarker while trying to unjam the machine.,Fatality,38.8054624,-123.0172227
WV,4/10/13,"Residential Creations LLC, Bridgeport, WV 26330",Employee died after falling 20 feet to the ground while making repairs to residential structure. ,Fatality,39.2864787,-80.2561981
FL,4/10/13,"Spillzz LLC,  Jacksonville,  FL 32254",Worker died after a garage collapsed on him while he was removing wood planks.,Fatality,30.3476884,-81.7458845
UT,4/10/13,"Utah Truck and Trailer Repair, LLC, Salt Lake City, UT 84119",Worker died when truck he was servicing slipped into gear and ran over him.,Fatality,40.7095135,-111.9641728
PR,4/9/13,"Waste Landfill Recycling Services, Guanica, PR 00653",Worker struck and killed by garbage container that came loose during unloading process.,Fatality,17.9725145,-66.9086264
WV,4/8/13,"A Street Logging, Fenwick,  WV 26202",Worker struck and killed by falling tree.,Fatality,38.229304,-80.5823682
IN,4/8/13,"Department of Public Works,  Indianapolis, IN 46204",Worker died after being pinned between tree and sanitation truck and then run over by truck.,Fatality,39.7680114,-86.1534081
TX,4/8/13,"Excel Utility Construction Inc., Mineola, TX 75773",Employee killed when a boring machine tipped over crushing him.  ,Fatality,32.6631884,-95.4882896
PA,4/8/13,"R. R. Donnelley and Sons Company, Lancaster,  PA 17601",Employee killed after being crushed by the rear axle of forklift. ,Fatality,40.0378755,-76.3055144
IN,4/8/13,"S C SAPP Inc., Leopold, IN 47630",Employee died after falling from courier/delivery vehicle.,Fatality,37.9701535,-87.3612205
CA,4/6/13,"Hernandez Lanscaping, San Clemente, CA 92673",Worker died from head injuries after falling six feet while trimming trees.,Fatality,33.4662881,-117.6317494
TX,4/5/13,"Basic Energy Services, Barstow, TX 79719",Two workers died from injuries from a blown high-pressured oil well.,Fatality,31.4612451,-103.3937815
NY,4/5/13,"R. King Window Corp., Brooklyn, NY 11222",Worker died from fall while cleaning building windows.,Fatality,40.7282702,-73.9506774
TX,4/5/13,"Upstage Center Inc,  San Antonio, TX 78219",Worker died from a 100-foot fall while dismantling iron cross beams in a concert stage setup. ,Fatality,29.4489141,-98.3910127
TX,4/5/13,"Wilkinson Roy Iron & Metal Inc., McAllen, TX 78501",Employee struck and killed by the front axle of a tandem axle trailer.,Fatality,26.2188442,-98.2322355
WI,4/4/13,"Balyasny Asset Management LP, Mequon, WI 53097",Worker died after falling from second floor to lower level of residential home while disassembling a scaffold.,Fatality,43.235883,-87.989257
TX,4/4/13,"Dring Air Conditioning and Heating, Fort Worth, TX 76107",Employee died after falling 20 feet from a ladder.,Fatality,32.737615,-97.3840729
OK,4/4/13,"Fort Worth Grain Exchange, Frederick,  OK 73542",Employee electrocuted when a probe used to take grain samples contacted an overhead power distribution line.,Fatality,34.3920263,-99.0184093
IL,4/4/13,"Vesuvius USA Corporation, Chicago Heights, IL 60411",Employee died after making contact with moving auger blades while cleaning a refractory mixer.,Fatality,41.506146,-87.6355995
AL,4/3/13,"BAE Systems Southeast Shipyard, Mobile,  AL 36652",Employee has not been found and is presumed dead after cruise ship he was painting broke loose during heavy weather causing vessel to strike pier  throwing him into water.,Fatality,30.69595,-88.04373
OH,4/3/13,"New England Motor Freight Inc., Batavia, OH 45103",Employee died after being crushed between truck bed edge and a load of construction materials.,Fatality,39.0770072,-84.1768795
TX,4/2/13,"Carol Tires, Henderson, TX 75652",Employee killed after being struck by vehicle when he stepped out of his truck on the side of the highway. ,Fatality,32.1532156,-94.7993802
