4/10/13,"Cathay Pacific Airways Ltd., Jamaica,  NY 11430",Employee struck and killed by cargo transporter during loading operations at airport.,Fatality
4/10/13,"DC Cash and Carry,  Washington,  DC 20002",Employee died after falling 10 feet from a powered industrial truck while accessing a rack storage system.,Fatality
4/10/13,"Masonry Medic LLC,  Cynthiana, KY 41031","Two workers electrocuted when the boom truck basket they were inside contacted a 7,200-volt power line while they performed chimney repair work.",Fatality
4/10/13,"Pacific States Industries dba Redwood Empire Sawmill, Cloverdale, CA 95425",Worker died after becoming stuck in a debarker while trying to unjam the machine.,Fatality
4/10/13,"Residential Creations LLC, Bridgeport, WV 26330",Employee died after falling 20 feet to the ground while making repairs to residential structure. ,Fatality
4/10/13,"Spillzz LLC,  Jacksonville,  FL 32254",Worker died after a garage collapsed on him while he was removing wood planks.,Fatality
4/10/13,"Utah Truck and Trailer Repair, LLC, Salt Lake City, UT 84119",Worker died when truck he was servicing slipped into gear and ran over him.,Fatality
4/9/13,"Waste Landfill Recycling Services, Guanica, PR 00653",Worker struck and killed by garbage container that came loose during unloading process.,Fatality
4/8/13,"A Street Logging, Fenwick,  WV 26202",Worker struck and killed by falling tree.,Fatality
4/8/13,"Department of Public Works,  Indianapolis, IN 46204",Worker died after being pinned between tree and sanitation truck and then run over by truck.,Fatality
4/8/13,"Excel Utility Construction Inc., Mineola, TX 75773","Employee killed when a boring machine tipped over, crushing him.  ",Fatality
4/8/13,"R. R. Donnelley and Sons Company, Lancaster,  PA 17601",Employee killed after being crushed by the rear axle of forklift. ,Fatality
4/8/13,"S C SAPP Inc., Leopold, IN 47630",Employee died after falling from courier/delivery vehicle.,Fatality
4/7/13,"AK Steel Corporation, Middletown, OH 45043",Worker died from burns after an explosion at a steel mill.,Fatality
4/6/13,"Hernandez Lanscaping, San Clemente, CA 92673",Worker died from head injuries after falling six feet while trimming trees.,Fatality
4/5/13,"Basic Energy Services, Barstow, TX 79719",Two workers died from injuries from a blown high-pressured oil well.,Fatality
4/5/13,"Pacific Excavation, Coto de Caza, CA 92679                                           ",Worker died when a side wall collapsed on him while performing sewer/storm drain cleanup.,Fatality
4/5/13,"R. King Window Corp., Brooklyn, NY 11222",Worker died from fall while cleaning building windows.,Fatality
4/5/13,"Upstage Center Inc,  San Antonio, TX 78219",Worker died from a 100-foot fall while dismantling iron cross beams in a concert stage setup. ,Fatality
4/5/13,"Wilkinson Roy Iron & Metal Inc., McAllen, TX 78501",Employee struck and killed by the front axle of a tandem axle trailer.,Fatality
4/4/13,"Balyasny Asset Management LP, Mequon, WI 53097",Worker died after falling from second floor to lower level of residential home while disassembling a scaffold.,Fatality
4/4/13,"Dring Air Conditioning and Heating, Fort Worth, TX 76107",Employee died after falling 20 feet from a ladder.,Fatality
4/4/13,"Fort Worth Grain Exchange, Frederick,  OK 73542",Employee electrocuted when a probe used to take grain samples contacted an overhead power distribution line.,Fatality
4/4/13,"Vesuvius USA Corporation, Chicago Heights, IL 60411",Employee died after making contact with moving auger blades while cleaning a refractory mixer.,Fatality
4/3/13,"BAE Systems Southeast Shipyard, Mobile,  AL 36652","Employee has not been found and is presumed dead after cruise ship he was painting broke loose during heavy weather causing vessel to strike pier, throwing him into water.",Fatality
4/3/13,"New England Motor Freight Inc., Batavia, OH 45103",Employee died after being crushed between truck bed edge and a load of construction materials.,Fatality
4/3/13,"Paladin Attachments, Ooltewah, TN 37363",Worker died when steel sheeting fell from a crane and crushed him.,Fatality
4/3/13,"Samuelson Funeral Services In., Mankato, MN 56001",Worker died after falling down steps while transporting materials.,Fatality
4/3/13,"Ward Trucking LLC, Grove City, PA 16127",Worker died after being caught between a semi truck and loading dock.,Fatality
4/2/13,"3rd and Ash LLC, Dallas, TX 75226",Employee died after falling 25 feet through roof skylight.,Fatality
4/2/13,"Carol Tires, Henderson, TX 75652",Employee killed after being struck by vehicle when he stepped out of his truck on the side of the highway. ,Fatality
4/2/13,"Left Coast Cellars LLC, Rickreall, OR 97371",Worker died from head injuries after falling from a tractor.,Fatality
4/2/13,"Worknet Staffing, Leesville, LA 71446","Employee died while riding as a passenger in a delivery vehicle that collided with an 18-wheel truck.",Fatality
4/1/13,"Emerald Construction Corp., Sunny Isles Beach,  FL 33160","Employee died after falling 30 feet to the ground while securing 2x4s to a wall.",Fatality
4/1/13,"Hedge & Herberg Inc.,  Ortonville, MN 56278",Worker died from burns after the semi-trailer he was working on caught fire.  ,Fatality
4/1/13,"Jerry's Rentals & Specialties Co. Inc., Lopez Well #11 Encino  TX 78353",Worker died from pressure of a blow out that occurred during an oil field stump test.,Fatality
3/31/13,"Precision Surveillance Corporation, Russellville,  AR 72802",Employee killed after being struck by a collapsing crane.,Fatality
3/30/13,"M&C Motorcycles,  Long Beach, CA 90802",Worker died after being struck by vehicle while testing repaired motorcycle.,Fatality
3/28/13,"IL State Police - District #15, Northbrook, IL 60062",Worker died after being struck by semi-truck while assisting a motorist.  ,Fatality
3/28/13,"Kimble Mixer Company, Philadelphia, OH 44663",Employee died after a presumed fall.,Fatality
3/28/13,"NJ Division of Parks and Forestry, Clinton, NJ 08809",Worker died after being struck by vehicle while performing controlled forestry burns in the park. Ê ,Fatality
3/28/13,"Spectrum Contracting Inc., St. Petersburg, FL 33710",Employee died after falling 30 feet off a scissors lift on which he was working.,Fatality
3/27/13,"Arbor Care Inc., Houston, TX 77008",Employee died after falling nearly 50 feet from a bucket while performing tree trimming operations.,Fatality
3/27/13,"Barralaga's Roofing & Siding, Ocean City, NJ 08226",Employee died after falling from a residential roof to the ground below.,Fatality
3/27/13,"Becco Contractors Inc., Tulsa, OK 74145",Employee died after being struck by vehicle.,Fatality
3/27/13,"Comfort-Air Engineering Inc., San Antonio, TX 782181",Employee died after falling through a skylight while installing HVAC piping.,Fatality
3/27/13,"Craft Machine Works, Inc.,  Hampton, VA 23661",Worker died when caught between a vertical door counterweight and support structure.,Fatality
3/26/13,"Ardagh Glass Inc., Henryetta, OK 74437",Employee died from injuries after being crushed by a forklift.,Fatality
3/26/13,"BBG Services, Corpus Christi, TX 78414",Employee died when trench collapsed and crushed him.,Fatality
3/26/13,"Duplo USA Corporation, Henderson, NV 89002",Worker died after vehicle collided with another on interstate highway.,Fatality
3/25/13,"Juan Betancourt-Duran, Katy, TX 77494",Employee died after being struck by falling wall.,Fatality
3/24/13,"Newark Brothers Inc., Newark, NJ 07103",Employee shot and killed during altercation between restaurant patrons.,Fatality
3/23/13,"Magnussen Brothers Inc., Fostoria, IA 51340",Worker crushed and killed after bales of corn stalk fell on him.,Fatality
3/22/13,"Construction Engineering Consultants (CEC, Inc.), Newport News, VA 23606  ",Worker died from a fall while installing gutters and replacing window trim.,Fatality
3/22/13,"S. McClain Stone Company, Vestal, NY 13850",Employee struck and killed by forklift.,Fatality
3/21/13,"Indianapolis Funeral Escort Services, Indianapolis, IN 46227",Worker leading a funeral procession on motorcycle died from injuries when the motorcycle hit the center median and slid 60 feet. ,Fatality
3/21/13,"Mollertech LLC, Shelby Twp, MI 48315",Employee died after being struck by a mold that hooks to crane.  ,Fatality
3/20/13,"Burnham Industrial Contractors Inc., Haywood, WV 26366",Worker died after falling from collapsed roof onto a filter device.,Fatality
3/20/13,"Woodworks Construction, Franklin, MI 48025",Worker died from 35-foot fall after wind gusts pushed him and a window he was installing off forklift platform.,Fatality
3/19/13,"Freeman LP Corp, Long Beach, CA 93584",Worker died from injuries after falling 11 feet from scaffold.,Fatality
3/18/13,"Astro Aluminum Treating Company, South Gate, CA 90280",Worker crushed and killed after a stack of cylinder racks fell on him.,Fatality
3/18/13,"Boeing, North Charleston, SC 29418",Worker died after falling 30 feet from a mobile scaffold.  ,Fatality
3/18/13,"JRJ Trucking  LLC, Thomasville, NC  27360",Worker crushed and killed after the tractor trailer he was repairing fell on him.,Fatality
3/18/13,"Parker Integrated Sealing Systems, Ligonier, IN 46767",Worker electrocuted while repairing light fixture.,Fatality
3/18/13,"Patriot Drilling LLC, Orla, TX 79770",Employee struck and killed by pipe at drilling rig site.,Fatality
3/18/13,"The Clubs at Colonial Ridge, Harrisburg, PA 17112",Employee struck and killed by tree he was cutting down.,Fatality
3/17/13,"Frontier Drilling LLC, Wellington, UT 84542                                  ",Worker died after being struck by a chain and hook from an extended forklift.,Fatality
3/17/13,"Reedy Creek Energy Services Inc., Lake Buena Vista, FL 32830",Employee died after falling from scaffold.,Fatality
3/17/13,"White Pigeon Paper Co., White Pigeon, MI 49099",Worker died after falling into a pulper while welding equipment.,Fatality
3/16/13,"Thornton's Gas Station, Streamwood, IL 60107",Employee killed after robbery at gas station.,Fatality
3/15/13,"Thompson Metal Fab Inc., Vancouver, WA 98668",Worker crushed and killed when steel wing wall collapsed.,Fatality
3/14/13,"Los Angeles Engineering Inc., Los Angeles, CA 90272",Worker killed when trench collapsed.,Fatality
3/14/13,"Schneider Milling Inc., Waverly, IA 50677",Two workers died from possible carbon monoxide exposure after entering a grain bin to unclog an auger.,Fatality
3/13/13,"NLMK Indiana Portage, IN 46368",Workers were diagnosing Joslyn switch that was supposedly locked-out.  Circuit completed and voltage went through meter resulting in an arc flash. Three workers were hospitalized with burns.,Catastrophe
3/13/13,"Prime Wheel Corp., Harbor City, CA 90248",Worker killed after being caught between hoist and plating tank. ,Fatality
3/13/13,"River Parish Maintenance Inc., Norco, LA 70079",Worker died after being crushed by cylinders that rolled off fork-truck.,Fatality
3/13/13,"TIC dba The Industrial Company, Bakersfield, CA 93308",Worker died from injuries when forklift overturned and rolled down hill.  ,Fatality
3/12/13,"Upper Valley Disposable Services Inc., St. Helena, CA 94574",Worker was struck by company truck and dragged approximately 200-300 feet.  Worker was pronounced dead at scene.,Fatality
3/11/13,"Harris Camden Realty Inc., Camden, NJ 08104",Employee died after falling through roof opening onto steel landing. ,Fatality
3/11/13,"Rieke Grading, Shawnee Mission, KS 66227",Worker died when the pump truck he was welding exploded.,Fatality
3/8/13,"J Flores Roofing Inc., Oak Ridge, NC 27310",Worker died from fatal fall while repairing roof at residential house.,Fatality
3/8/13,"Mcm Carpentry LLC, Woodbridge, Virginia 22193",Worker struck and killed by steel I-beams while working in unfinished basement.,Fatality
3/7/13,"Apple Valley Waste Services, Gerrardstown, WV 25420",Worker struck and killed by vehicle while collecting trash.,Fatality
3/7/13,"Apple Valley Waste Services, Gerrardstown, WV 25420",Worker struck and killed by vehicle while collecting trash.,Fatality
3/7/13,"Martinrea Hopkinsville LLC, Hopkinsville, KY 42240",Worker killed after being pinned under machine at automotive plant.,Fatality
3/6/13,"C&J Energy Services Inc., Moulton, TX 77975",Worker died when fork-truck fell on him after going over ramp.,Fatality
3/6/13,"Davis Tool & Die, Fenton, MO 63026",Worker electrocuted while working on industrial furnace.,Fatality
3/6/13,"Hudson Community FPD - Main Station Hudson, IL 61748",Five workers hospitalized after being struck by a trailer carrying automobiles.,Catastrophe
3/6/13,"Hudson Community FPD - Main Station, Hudson, IL 61748",Worker killed after being struck by a trailer carrying automobiles.,Fatality
3/6/13,"Purina Animal Nutrition, Evansville, IN 47711",Worker suffocated after becoming trapped in man lift.,Fatality
3/6/13,"Schlitterbahn Beach Resort Management LLC, South Padre Island, TX 78597",Worker killed after being caught between the gate of a wave pool he was repairing.,Fatality
3/4/13,"Gin-Spen Inc., Andrews, TX 79714",Worker died from head injuries after falling from back of pickup truck.,Fatality
3/2/13,"Bradsher Boys, Inc., Raleigh, NC  27615                    ",Worker killed after becoming entangled in a mulch auger.,Fatality
