
3/22/2014,"Graham County Land Company, Hannibal, OH 43931",Worker struck and killed by falling tree. ,Fatality
3/21/2014,"Dolly DYK Cleaning Corp, Boston, MA 02116",Worker killed in fall down elevator shaft. ,Fatality
3/21/2014,"Mack's S & S Construction, Catoosa, OK 74015",Worker crushed by dump truck.,Fatality
3/20/2014,"Baker Hughes, Meshoppen, PA 18630",Worker killed in tractor trailer collision.,Fatality
3/20/2014,"Ensign United States Drilling Inc., Killdeer, ND 58640",Worker struck and killed by traveling blocks while working on a drilling rig.,Fatality
3/20/2014,"Haas-Anderson Construction Ltd, Sinton, TX 78387",Worker struck and killed by motor vehicle.,Fatality
3/20/2014,"Midwest Farmers Cooperative, Tecumseh, NE 68450",Worker died from exposure to anhydrous ammonia released during transfer from tanker trailer to bulk storage tank.,Fatality
3/20/2014,"Vision Pool, Newport Coast, CA 92657",Worker drowned in pool.,Fatality
3/20/2014,"Volles Dairy Farm LLC, Marietta, NY 13110",Worker performing maintenance on truck was crushed by  hydraulic dump body. ,Fatality
3/19/2014,"Chicago Doorways LLC, Chicago, IL 60611",Worker died after falling from ladder.,Fatality
3/19/2014,"G.E. Drywall, Bella Vista, CA 96008",Worker killed in fall from height.,Fatality
3/19/2014,"Ingram Ready Mix, Converse, TX 78109",Worker struck and run over by truck.     ,Fatality
3/19/2014,"Mendocina County Sheriff's Office, Cleone, CA 95437",Worker shot while in pursuit of suspect.,Fatality
3/19/2014,"Redwing Electric, LLC, Pasadena, MD 21122",Worker killed in fall from water tower.,Fatality
3/18/2014,"The Coca-Cola Company, Atlanta, GA 30308",Worker killed in fall on stairway.,Fatality
3/18/2014,"Will County - ICT Department, Joliet, IL 60432",Worker killed in motor vehicle collision.,Fatality
3/17/2014,"City of Oaks Forest - Police Dept., Oak Forest, IL 60452",Worker responding to domestic violence call struck and killed by a motor vehicle.,Fatality
3/17/2014,"Meekhof Tire Sales and Service, Inc.                                                        Grand Rapids, MI 49503",Worker repairing tire was crushed when truck cab fell on him.,Fatality
3/17/2014,"Varsity Cycle Inc., Wilton Manors, FL 33306",Worker killed in motor vehicle collision.,Fatality
3/16/2014,"Caring and Sharing of South Walton County Inc., Santa Rosa Beach, FL 32459",Worker killed in fall from truck. ,Fatality
3/15/2014,"BF Fort Myers Inc., Punta Gorda, FL 33951",Worker electrocuted while repairing machine.,Fatality
3/15/2014,"Eckhart Construction Services Inc., Matthews, NC 28104  ",Worker struck and killed by skid steer loader. ,Fatality
3/15/2014,"Full Service Scaffold, Sacramento, CA 94203",Worker killed in fall from scaffold platform. ,Fatality
3/15/2014,"Nabors Drilling Ltd, Fowlerton, TX 78021",Worker struck and killed by unsecured equipment.,Fatality
3/15/2014,"Prairie Ag Partners, Lake Preston, SD 57249",Worker engulfed by beans while cleaning storage bin.,Fatality
3/15/2014,"Saunier Moving and Storage, Smith Grove, KY 42171",Worker killed in truck fire after motor vehicle collision.,Fatality
3/14/2014,"Bruce Babb Chemicals, Rankin, TX 79778","Worker killed in a motor vehicle collision.
",Fatality
3/14/2014,"Evergreen Golf Design Inc., Marysville, WA 98271",Worker killed when riding lawnmower flipped over onto him.,Fatality
3/14/2014,"First Graphic Services Inc., Garland, TX 75040",Worker struck and killed by falling signs. ,Fatality
3/14/2014,"Industrial Air, Inc., Greensboro, NC  27419",Worker died from fall while cleaning duct work box.,Fatality
3/14/2014,"Michels Pipeline Construction, Inc., Cedar Rapids, IA 52403",Worker struck and killed by metal boring rods during cutting.,Fatality
3/14/2014,"SIMMCO, Shreveport, LA 71149",Worker struck and killed when pipes rolled off trailer during unloading.,Fatality
